key	ru	en	pl	uk	de	fr	es	it	pt	nl
new_task	Новая задача	New task	Nowe zadanie	Нове завдання	Neue Aufgabe	Nouvelle tâche	Nueva tarea	Nuova attività	Nova tarefa	Nieuwe taak
list_name	Название списка	List name	Nazwa listy	Назва списку	Listenname	Nom de la liste	Nombre de la lista	Nome della lista	Nome da lista	Lijstnaam
project_name	Название проекта	Project name	Nazwa projektu	Назва проєкту	Projektname	Nom du projet	Nombre del proyecto	Nome del progetto	Nome do projeto	Projectnaam
no_project	Без проекта	No project	Bez projektu	Без проєкту	Ohne Projekt	Sans projet	Sin proyecto	Senza progetto	Sem projeto	Geen project
first_list	Создайте первый список	Create your first list	Utwórz pierwszą listę	Створіть перший список	Erste Liste erstellen	Créez votre première liste	Crea tu primera lista	Crea la tua prima lista	Crie a sua primeira lista	Maak je eerste lijst
create_list	Создать список	Create list	Utwórz listę	Створити список	Liste erstellen	Créer une liste	Crear lista	Crea lista	Criar lista	Lijst maken
empty	Здесь пока спокойно	Nothing here yet	Tutaj jeszcze nic nie ma	Тут поки порожньо	Hier ist noch nichts	Rien pour le moment	Aún no hay nada	Ancora nessuna attività	Ainda não há nada	Hier is nog niets
empty_hint	Добавьте задачу, когда будете готовы	Add a task when you are ready	Dodaj zadanie, gdy będziesz gotowy	Додайте завдання, коли будете готові	Füge eine Aufgabe hinzu, wenn du bereit bist	Ajoutez une tâche quand vous le souhaitez	Añade una tarea cuando quieras	Aggiungi un’attività quando vuoi	Adicione uma tarefa quando quiser	Voeg een taak toe wanneer je wilt
search_hint	Поиск списков и задач	Search lists and tasks	Szukaj list i zadań	Пошук списків і завдань	Listen und Aufgaben suchen	Rechercher des listes et tâches	Buscar listas y tareas	Cerca liste e attività	Pesquisar listas e tarefas	Lijsten en taken zoeken
no_results	Ничего не найдено	No results	Nic nie znaleziono	Нічого не знайдено	Keine Ergebnisse	Aucun résultat	Sin resultados	Nessun risultato	Sem resultados	Geen resultaten
task_hint	Что нужно сделать?	What needs to be done?	Co trzeba zrobić?	Що потрібно зробити?	Was ist zu erledigen?	Que faut-il faire ?	¿Qué hay que hacer?	Cosa devi fare?	O que precisa de fazer?	Wat moet er gebeuren?
add_reminder	Добавить напоминание	Add reminder	Dodaj przypomnienie	Додати нагадування	Erinnerung hinzufügen	Ajouter un rappel	Añadir recordatorio	Aggiungi promemoria	Adicionar lembrete	Herinnering toevoegen
remove_reminder	Убрать напоминание	Remove reminder	Usuń przypomnienie	Прибрати нагадування	Erinnerung entfernen	Supprimer le rappel	Quitar recordatorio	Rimuovi promemoria	Remover lembrete	Herinnering verwijderen
tagline	Спокойный порядок каждый день	A calmer day, one task at a time	Spokojny porządek każdego dnia	Спокійний порядок щодня	Jeden Tag entspannt organisiert	Un quotidien mieux organisé	Organiza tu día con calma	Ogni giorno più organizzato	Organize o seu dia com calma	Elke dag rustig georganiseerd
connect	Подключить	Connect	Połącz	Підключити	Verbinden	Connecter	Conectar	Connetti	Ligar	Verbinden
change	Изменить	Change	Zmień	Змінити	Ändern	Modifier	Cambiar	Modifica	Alterar	Wijzigen
not_connected	Не подключён	Not connected	Nie połączono	Не підключено	Nicht verbunden	Non connecté	Sin conexión	Non connesso	Não ligado	Niet verbonden
upload	Загрузить	Upload	Wyślij	Завантажити в хмару	Hochladen	Envoyer	Subir	Carica	Enviar	Uploaden
restore	Восстановить	Restore	Przywróć	Відновити	Wiederherstellen	Restaurer	Restaurar	Ripristina	Restaurar	Herstellen
sync_never	Синхронизация ещё не выполнялась	No transfer yet	Jeszcze nie przesyłano danych	Передавання ще не виконувалось	Noch keine Übertragung	Aucun transfert effectué	Aún no se han transferido datos	Nessun trasferimento eseguito	Ainda não foram transferidos dados	Nog geen overdracht
cloud_cipher	В облако отправляется только backup.atodo.enc	Only backup.atodo.enc is uploaded to the cloud	Do chmury trafia tylko backup.atodo.enc	У хмару надсилається лише backup.atodo.enc	Nur backup.atodo.enc wird hochgeladen	Seul backup.atodo.enc est envoyé au cloud	Solo se sube backup.atodo.enc a la nube	Solo backup.atodo.enc viene caricato nel cloud	Apenas backup.atodo.enc é enviado para a nuvem	Alleen backup.atodo.enc wordt naar de cloud geüpload
security	Безопасность и резервная копия	Security and backup	Bezpieczeństwo i kopia zapasowa	Безпека й резервна копія	Sicherheit und Sicherung	Sécurité et sauvegarde	Seguridad y copia de seguridad	Sicurezza e backup	Segurança e cópia de segurança	Beveiliging en back-up
connect_nextcloud	Подключить Nextcloud	Connect Nextcloud	Połącz Nextcloud	Підключити Nextcloud	Nextcloud verbinden	Connecter Nextcloud	Conectar Nextcloud	Connetti Nextcloud	Ligar Nextcloud	Nextcloud verbinden
dav_help	Используйте полный WebDAV URL и отдельный пароль приложения.	Use the full WebDAV URL and a separate app password.	Użyj pełnego adresu WebDAV i osobnego hasła aplikacji.	Використовуйте повну адресу WebDAV і окремий пароль застосунку.	Vollständige WebDAV-URL und separates App-Passwort verwenden.	Utilisez l’URL WebDAV complète et un mot de passe d’application.	Usa la URL WebDAV completa y una contraseña de aplicación.	Usa l’URL WebDAV completo e una password per l’app.	Use o URL WebDAV completo e uma palavra-passe de aplicação.	Gebruik de volledige WebDAV-URL en een apart app-wachtwoord.
login	Логин	Username	Nazwa użytkownika	Ім’я користувача	Benutzername	Nom d’utilisateur	Usuario	Nome utente	Nome de utilizador	Gebruikersnaam
app_password	Пароль приложения	App password	Hasło aplikacji	Пароль застосунку	App-Passwort	Mot de passe d’application	Contraseña de aplicación	Password dell’app	Palavra-passe de aplicação	App-wachtwoord
active_count	Активные задачи: %1$d	Active tasks: %1$d	Aktywne zadania: %1$d	Активні завдання: %1$d	Aktive Aufgaben: %1$d	Tâches actives : %1$d	Tareas activas: %1$d	Attività attive: %1$d	Tarefas ativas: %1$d	Actieve taken: %1$d
lists_count	Списки: %1$d	Lists: %1$d	Listy: %1$d	Списки: %1$d	Listen: %1$d	Listes : %1$d	Listas: %1$d	Liste: %1$d	Listas: %1$d	Lijsten: %1$d
completed_count	Выполненные (%1$d)	Completed (%1$d)	Ukończone (%1$d)	Виконані (%1$d)	Erledigt (%1$d)	Terminées (%1$d)	Completadas (%1$d)	Completate (%1$d)	Concluídas (%1$d)	Voltooid (%1$d)
delete_task	Удалить задачу «%1$s»?	Delete task “%1$s”?	Usunąć zadanie „%1$s”?	Видалити завдання «%1$s»?	Aufgabe „%1$s“ löschen?	Supprimer la tâche « %1$s » ?	¿Eliminar la tarea «%1$s»?	Eliminare l’attività «%1$s»?	Eliminar a tarefa «%1$s»?	Taak ‘%1$s’ verwijderen?
delete_list	Удалить список «%1$s» и все его задачи?	Delete list “%1$s” and all its tasks?	Usunąć listę „%1$s” i wszystkie jej zadania?	Видалити список «%1$s» і всі його завдання?	Liste „%1$s“ und alle Aufgaben löschen?	Supprimer la liste « %1$s » et toutes ses tâches ?	¿Eliminar la lista «%1$s» y todas sus tareas?	Eliminare la lista «%1$s» e tutte le sue attività?	Eliminar a lista «%1$s» e todas as suas tarefas?	Lijst ‘%1$s’ en alle taken verwijderen?
delete_project	Удалить проект «%1$s»? Списки останутся без проекта.	Delete project “%1$s”? Its lists will be kept without a project.	Usunąć projekt „%1$s”? Listy zostaną zachowane bez projektu.	Видалити проєкт «%1$s»? Списки залишаться без проєкту.	Projekt „%1$s“ löschen? Die Listen bleiben ohne Projekt erhalten.	Supprimer le projet « %1$s » ? Les listes seront conservées sans projet.	¿Eliminar el proyecto «%1$s»? Se conservarán las listas sin proyecto.	Eliminare il progetto «%1$s»? Le liste resteranno senza progetto.	Eliminar o projeto «%1$s»? As listas serão mantidas sem projeto.	Project ‘%1$s’ verwijderen? De lijsten blijven zonder project bewaard.
recovery_title	Сохраните сид-фразу	Save your recovery phrase	Zapisz frazę odzyskiwania	Збережіть фразу відновлення	Wiederherstellungsphrase sichern	Conservez votre phrase de récupération	Guarda tu frase de recuperación	Salva la frase di recupero	Guarde a frase de recuperação	Bewaar je herstelzin
recovery_warning	При удалении приложения, очистке данных или потере телефона локальные задачи могут быть потеряны. Для восстановления нужны зашифрованная резервная копия И эта фраза. Без фразы копию расшифровать нельзя. Одна фраза не восстанавливает отсутствующую копию.	Uninstalling the app, clearing its data or losing your phone can erase local tasks. Recovery requires BOTH an encrypted backup and this phrase. Without the phrase the backup cannot be decrypted. The phrase alone cannot recover a missing backup.	Odinstalowanie aplikacji, wyczyszczenie danych lub utrata telefonu może spowodować utratę zadań. Do odzyskania potrzebujesz zaszyfrowanej kopii ORAZ tej frazy. Bez frazy nie odszyfrujesz kopii. Sama fraza nie odtworzy brakującej kopii.	Видалення застосунку, очищення даних або втрата телефона можуть призвести до втрати локальних завдань. Для відновлення потрібні зашифрована копія І ця фраза. Без фрази копію не розшифрувати. Сама фраза не відновить відсутню копію.	Deinstallation, Löschen der App-Daten oder Verlust des Telefons können lokale Aufgaben löschen. Zur Wiederherstellung brauchst du SOWOHL eine verschlüsselte Sicherung ALS AUCH diese Phrase. Ohne Phrase ist die Sicherung nicht entschlüsselbar. Die Phrase allein ersetzt keine fehlende Sicherung.	La désinstallation, l’effacement des données ou la perte du téléphone peuvent effacer les tâches locales. Il faut À LA FOIS une sauvegarde chiffrée ET cette phrase pour les restaurer. Sans la phrase, la sauvegarde est illisible. La phrase seule ne remplace pas une sauvegarde manquante.	Desinstalar la aplicación, borrar sus datos o perder el teléfono puede eliminar las tareas locales. Para recuperarlas necesitas TANTO una copia cifrada COMO esta frase. Sin la frase no se puede descifrar la copia. La frase sola no recupera una copia inexistente.	Disinstallare l’app, cancellarne i dati o perdere il telefono può eliminare le attività locali. Per recuperarle servono SIA un backup cifrato SIA questa frase. Senza la frase il backup non è decifrabile. La frase da sola non recupera un backup mancante.	Desinstalar a aplicação, limpar os dados ou perder o telemóvel pode eliminar tarefas locais. Para recuperar, precisa de uma cópia cifrada E desta frase. Sem a frase, não pode decifrar a cópia. A frase sozinha não recupera uma cópia inexistente.	De app verwijderen, app-gegevens wissen of je telefoon verliezen kan lokale taken wissen. Herstel vereist ZOWEL een versleutelde back-up ALS deze zin. Zonder de zin kun je de back-up niet ontsleutelen. De zin alleen herstelt geen ontbrekende back-up.
copy	Скопировать фразу	Copy phrase	Kopiuj frazę	Скопіювати фразу	Phrase kopieren	Copier la phrase	Copiar frase	Copia frase	Copiar frase	Zin kopiëren
copied	Фраза скопирована	Phrase copied	Fraza skopiowana	Фразу скопійовано	Phrase kopiert	Phrase copiée	Frase copiada	Frase copiata	Frase copiada	Zin gekopieerd
clipboard_warning	Буфер обмена может быть доступен другим приложениям. Лучше хранить фразу офлайн. Никому её не отправляйте.	Other apps may access the clipboard. Prefer offline storage. Never share your phrase.	Inne aplikacje mogą mieć dostęp do schowka. Przechowuj frazę offline. Nikomu jej nie wysyłaj.	Інші застосунки можуть мати доступ до буфера обміну. Краще зберігати фразу офлайн. Нікому її не надсилайте.	Andere Apps können auf die Zwischenablage zugreifen. Bewahre die Phrase lieber offline auf. Teile sie mit niemandem.	D’autres applications peuvent accéder au presse-papiers. Préférez un stockage hors ligne. Ne partagez jamais votre phrase.	Otras aplicaciones pueden acceder al portapapeles. Guarda la frase sin conexión y nunca la compartas.	Altre app potrebbero accedere agli appunti. Conserva la frase offline e non condividerla.	Outras aplicações podem aceder à área de transferência. Prefira guardar a frase offline. Nunca a partilhe.	Andere apps kunnen het klembord lezen. Bewaar de zin liever offline. Deel hem nooit.
saved_phrase	Я сохранил фразу отдельно	I saved the phrase separately	Fraza została zapisana osobno	Я зберіг фразу окремо	Ich habe die Phrase separat gesichert	J’ai conservé la phrase séparément	He guardado la frase por separado	Ho salvato la frase separatamente	Guardei a frase separadamente	Ik heb de zin apart bewaard
check_words	Введите слова №1 и №24 для проверки	Enter words 1 and 24 to confirm	Wpisz słowa 1 i 24, aby potwierdzić	Введіть слова №1 і №24 для перевірки	Gib zur Bestätigung Wort 1 und 24 ein	Saisissez les mots 1 et 24 pour confirmer	Introduce las palabras 1 y 24 para confirmar	Inserisci le parole 1 e 24 per confermare	Introduza as palavras 1 e 24 para confirmar	Voer woord 1 en 24 in ter bevestiging
word_first	Слово №1	Word 1	Słowo 1	Слово №1	Wort 1	Mot 1	Palabra 1	Parola 1	Palavra 1	Woord 1
word_last	Слово №24	Word 24	Słowo 24	Слово №24	Wort 24	Mot 24	Palabra 24	Parola 24	Palavra 24	Woord 24
notifications	Напоминания	Reminders	Przypomnienia	Нагадування	Erinnerungen	Rappels	Recordatorios	Promemoria	Lembretes	Herinneringen
allow	Разрешить напоминания	Allow reminders	Zezwól na przypomnienia	Дозволити нагадування	Erinnerungen erlauben	Autoriser les rappels	Permitir recordatorios	Consenti promemoria	Permitir lembretes	Herinneringen toestaan
skip	Продолжить без уведомлений	Continue without notifications	Kontynuuj bez powiadomień	Продовжити без сповіщень	Ohne Benachrichtigungen fortfahren	Continuer sans notifications	Continuar sin notificaciones	Continua senza notifiche	Continuar sem notificações	Doorgaan zonder meldingen
notification_help	Разрешение нужно для напоминаний о задачах. Вы можете включить уведомления позже в настройках Android.	Permission is needed for task reminders. You can enable notifications later in Android settings.	Uprawnienie jest potrzebne do przypomnień. Powiadomienia można włączyć później w ustawieniach Androida.	Дозвіл потрібен для нагадувань про завдання. Сповіщення можна ввімкнути пізніше в налаштуваннях Android.	Die Berechtigung wird für Erinnerungen benötigt. Du kannst Benachrichtigungen später in Android aktivieren.	L’autorisation est nécessaire pour les rappels. Vous pouvez activer les notifications plus tard dans Android.	El permiso permite recibir recordatorios. Puedes activar las notificaciones después en Android.	Il permesso serve per i promemoria. Puoi attivare le notifiche in seguito nelle impostazioni Android.	A permissão é necessária para lembretes. Pode ativar as notificações mais tarde no Android.	Toestemming is nodig voor herinneringen. Je kunt meldingen later in Android inschakelen.
transfer_ok	Передача завершена	Transfer completed	Przesyłanie zakończone	Передавання завершено	Übertragung abgeschlossen	Transfert terminé	Transferencia completada	Trasferimento completato	Transferência concluída	Overdracht voltooid
transfer_error	Не удалось передать данные. Проверьте подключение, реквизиты и сид-фразу.	Transfer failed. Check connection, credentials and recovery phrase.	Przesyłanie nie powiodło się. Sprawdź połączenie, dane logowania i frazę.	Не вдалося передати дані. Перевірте з’єднання, реквізити й фразу.	Übertragung fehlgeschlagen. Verbindung, Zugangsdaten und Phrase prüfen.	Échec du transfert. Vérifiez la connexion, les identifiants et la phrase.	Error de transferencia. Revisa la conexión, las credenciales y la frase.	Trasferimento non riuscito. Controlla connessione, credenziali e frase.	Falha na transferência. Verifique a ligação, as credenciais e a frase.	Overdracht mislukt. Controleer verbinding, inloggegevens en herstelzin.
